,url,date,topics
551,https://www.bbc.com//news/uk-england-lincolnshire-68251812,9 Feb 2024,"['Coasts', 'Health', 'Lincoln', 'Rural life']"
552,https://www.bbc.com//news/entertainment-arts-63647648,26 Nov 2022,"['Television', 'Glastonbury Festival', 'BBC', 'Eurovision Song Contest', 'Music']"
553,https://www.bbc.com//news/world-asia-68213679,10 Feb 2024,"['Asia', 'Indonesia']"
554,https://www.bbc.com//news/world-asia-50122635,27 Oct 2019,['no_topics']
555,https://www.bbc.com//news/world-latin-america-68223520,7 Feb 2024,"['Sebastian Pinera', 'Chile']"
556,https://www.bbc.com//news/election-us-2016-37897075,7 Nov 2016,['no_topics']
557,https://www.bbc.com//news/articles/cn00856r6k2o,18 Jun 2024,"['Electric cars', 'Climate', 'General election 2024', 'Renewable energy', 'Sandy']"
558,https://www.bbc.com//news/articles/crgg324r1leo,25 Jun 2024,"['East-West Rail', 'Cambridge', 'Cherry Hinton', 'Eversden', 'General election 2024', 'Harston']"
559,https://www.bbc.com//news/articles/c0xxx6808qpo,26 Jun 2024,"['Stanwick', 'General election 2024', 'Autism']"
560,https://www.bbc.com//news/articles/c999xdpzd0jo,10 Jun 2024,"['Conservative Party', 'Rishi Sunak']"
561,https://www.bbc.com//news/articles/cd11dved5e8o,14 Jun 2024,"['Carers', 'General election 2024', 'Haswell']"
562,https://www.bbc.com//news/articles/cjjjwp52999o,1 Jul 2024,"['Smethwick', 'Sandwell', 'General election 2024']"
563,https://www.bbc.com//news/articles/clwylnlxg31o,30 Jun 2024,"['Cornwall', 'Cost of Living ', 'Sustainability', 'Liskeard', 'General election 2024']"
564,https://www.bbc.com//news/articles/cmlljwrp829o,19 Jun 2024,"['New Brighton', 'Hoylake', 'General election 2024']"
565,https://www.bbc.com//news/articles/cp44jpyp7q2o,15 Jun 2024,"['Hay-on-wye', 'Water pollution', 'River Wye']"
566,https://www.bbc.com//news/articles/cpv35ldpx05o,2 Jul 2024,"['Cornwall', 'Social care', 'General election 2024']"
567,https://www.bbc.com//news/articles/cv22y0jvd4do,25 Jun 2024,"['Gosport', 'Oxford', 'General election 2024', 'Brexit']"
568,https://www.bbc.com//news/articles/cx77jy54qqpo,18 Jun 2024,"['NHS', 'General election 2024', 'Northampton']"
569,https://www.bbc.com//news/articles/cy99zlnnxl0o,1 Jul 2024,"['Telford', 'Healthcare', 'NHS']"
570,https://www.bbc.com//news/articles/c8771mg8lezo,12 Jun 2024,"['Ipswich', 'General election 2024']"
571,https://www.bbc.com//news/articles/cjqq1lkw5k7o,11 Jun 2024,"['Manchester', 'Blackpool', 'General election 2024', 'Brexit']"
572,https://www.bbc.com//news/articles/cnl0d4jd7gpo,2 Jul 2024,['General election 2024']
573,https://www.bbc.com//news/articles/cp6643j31gno,17 Jun 2024,"['Nottingham', 'General election 2024']"
574,https://www.bbc.com//news/articles/cqvv547v5y4o,27 Jun 2024,"['Thurrock Council', 'Council tax', 'Local Government Association', 'General election 2024', 'Local government']"
575,https://www.bbc.com//news/articles/cw44m1jrekeo,19 Jun 2024,"['Witney', 'General election 2024']"
576,https://www.bbc.com//news/articles/c9xxj56d5glo,11 Jun 2024,"['Conservative Party', 'Green Party (England and Wales)', 'General election 2024', 'Labour Party', 'Liberal Democrats']"
577,https://www.bbc.com//news/world-latin-america-19635877,15 Jan 2024,['no_topics']
578,https://www.bbc.com//news/entertainment-arts-63647648,26 Nov 2022,"['Television', 'Glastonbury Festival', 'BBC', 'Eurovision Song Contest', 'Music']"
579,https://www.bbc.com//news/world-47077623,31 Jan 2019,['no_topics']
580,https://www.bbc.com//news/uk-england-leicestershire-67912128,9 Jan 2024,"['Public health', 'Leicestershire County Council']"
581,https://www.bbc.com//news/uk-england-south-yorkshire-68495371,11 Mar 2024,"['Barnsley', 'Rotherham', ""The Miners' Strike""]"
582,https://www.bbc.com//news/world-asia-67942289,11 Jan 2024,"['Papua New Guinea', 'Asia', 'Australia']"
583,https://www.bbc.com//news/uk-england-leicestershire-67912128,9 Jan 2024,"['Public health', 'Leicestershire County Council']"
584,https://www.bbc.com//news/uk-england-south-yorkshire-68495371,11 Mar 2024,"['Barnsley', 'Rotherham', ""The Miners' Strike""]"
585,https://www.bbc.com//news/world-asia-india-68823827,30 Apr 2024,"['Asia', 'Narendra Modi', 'GDP', 'India']"
586,https://www.bbc.com//news/world-africa-62332376,29 Jul 2022,"['Julius Malema', 'South Africa']"
587,https://www.bbc.com//news/uk-wales-64532345,6 Feb 2023,"['Wales', 'Women', 'Gender pay gap', 'Welsh government', 'Welsh Parliament']"
588,https://www.bbc.com//news/world-africa-19522260,7 Sep 2012,['no_topics']
589,https://www.bbc.com//news/articles/c0x04q58v7zo,28 Apr 2024,"['Wales', 'Comedy', 'Foster care', 'Stand-up comedy']"
590,https://www.bbc.com//news/world-asia-pacific-14718226,8 May 2024,['no_topics']
591,https://www.bbc.com//news/entertainment-arts-68927262,9 May 2024,"['Asia', 'Bollywood', 'India', 'Musical theatre']"
592,https://www.bbc.com//news/world-asia-india-68982352,9 May 2024,"['India Election 2024', 'Narendra Modi', 'India']"
593,https://www.bbc.com//news/uk-wales-55721123,14 Feb 2021,"['Censuses in the United Kingdom', 'Censuses', 'Cardiff', 'LGBT', 'Transgender people', 'Office for National Statistics', 'Bangor']"
594,https://www.bbc.com//news/uk-wales-56054655,14 Feb 2021,"['Wales', 'Rhondda', 'Coronavirus lockdown measures', 'Poverty', 'Public health', 'Contact tracing', 'Coronavirus vaccines', 'Cynon Valley', 'Health', 'Plaid Cymru', 'Social distancing', 'Food banks', 'Community', 'Extreme Poverty', 'Coronavirus testing', 'Volunteering', ""Valentine's Day"", 'NHS Wales', 'Personal protective equipment (PPE)', 'Tonyrefail', 'Rhondda Cynon Taf County Borough Council', 'Coronavirus', 'Cwm Taf Morgannwg University Health Board', 'Abercynon']"
595,https://www.bbc.com//news/world-africa-30904050,21 Jan 2015,['no_topics']
596,https://www.bbc.com//news/world-africa-35106236,28 Dec 2015,['no_topics']
597,https://www.bbc.com//news/world-middle-east-56065527,17 Feb 2021,"['Middle East', 'Women', 'United Arab Emirates', ""Women's rights"", 'Mohammed Al Maktoum', 'Dubai', 'Human rights in Saudi Arabia']"
598,https://www.bbc.com//news/uk-64732567,22 Feb 2023,"['Health', 'Race and ethnicity', 'Office for National Statistics', 'Coronavirus']"
599,https://www.bbc.com//news/world-asia-67942289,11 Jan 2024,"['Papua New Guinea', 'Asia', 'Australia']"
600,https://www.bbc.com//news/world-latin-america-68223520,7 Feb 2024,"['Sebastian Pinera', 'Chile']"
601,https://www.bbc.com//news/world-asia-68213679,10 Feb 2024,"['Asia', 'Indonesia']"
602,https://www.bbc.com//news/world-asia-50122635,27 Oct 2019,['no_topics']
603,https://www.bbc.com//news/articles/c88614qdz8no,10 Jul 2024,"['Belfast', 'NI Health', 'Health', 'Northern Ireland']"
604,https://www.bbc.com//news/articles/c0veqgr7lw4o,9 Jul 2024,"['Levelling up', 'Jim McMahon', 'Labour Party']"
605,https://www.bbc.com//news/articles/c0xxx28dqneo,26 Jun 2024,"['Leek', 'Childcare', 'General election 2024']"
606,https://www.bbc.com//news/articles/c288v9jy387o,17 Jun 2024,"['Portsmouth', 'NHS', 'General election 2024']"
607,https://www.bbc.com//news/articles/cgeek1494pno,28 Jun 2024,"['Coronavirus vaccines', 'Health', 'Hedon', 'NHS', 'General election 2024', 'Coronavirus']"
